nameOfFile,numTweets,timeToProcess,maxLikes,avgLikes,medianLikes,stdDevLikes,maxReplies,avgReplies,medianReplies,stdDevReplies,maxRetweets,avgRetweets,medianRetweets,stdDevRetweets,
michael916.csv,500040,20.326488733291626,3460,31.99939204863611,0.0,314.4604670154513,67,0.7082653387728982,0.0,6.099019973014391,1119,10.181527477801776,0.0,101.68293243448599,
michael923.csv,333409,14.245951890945435,103,3.2499572597020476,0,8.287777581478107,11,0.2250269188894121,0,0.6890899983778718,23,1.2124207804828304,0,2.6396752381439486,
michael930.csv,416754,17.787696361541748,107,1.6603583888816904,0.0,3.378202299882157,5,0.3400207316546452,0.0,0.8272972001462965,14,0.6600872457132985,0.0,1.6868050135316615,
michael1007.csv,500040,21.236472129821777,92,4.282969362451004,0.0,13.461530348954872,15,0.5999220062395009,0.0,1.8410079922974603,74,2.2665566754659627,0.0,9.534446035978862,
michael1014.csv,500040,20.994086980819702,185,2.782929365650748,0.0,8.559862698237408,15,0.09172266218702504,0.0,0.3422559617368313,92,0.8085633149348053,0.0,2.346990287884636,
michael1021.csv,500040,20.388287782669067,1045,4.093920486361091,0.0,15.509536926329389,97,0.24186465082793376,0.0,1.073310279086449,246,1.8670366370690346,0.0,10.945938053547883,
michael1028.csv,462580,19.25557017326355,4381,10.11770072203727,0.0,52.61494646122319,74,0.8432552207185784,0.0,4.798523841853043,2143,2.631378356176229,0.0,13.33532663381981,
weed916.csv,500040,23.632494688034058,65,1.6252239820814336,0.0,5.100200854870789,7,0.18332733381329494,0.0,0.8463276734590426,26,0.6167766578673706,0.0,2.118569335901915,
weed923.csv,500040,26.159792184829712,44,2.4416866650667948,0.0,5.018390470258988,14,0.3249980001599872,0.0,1.5064205403452713,21,0.6417406607471402,0.0,2.174949885885028,
weed930.csv,500040,26.090729236602783,276,2.205611551075914,0.0,7.455123161745185,11,0.2615410767138629,0.0,0.8426134422701475,98,0.8561935045196384,0.0,2.94821947310308,
weed1007.csv,500040,25.078792333602905,84,3.19169066474682,0.0,9.53214050130537,7,0.2666686665066795,0.0,0.8919271728515525,59,0.7502259819214463,0.0,2.2467434691444477,
weed1014.csv,500040,22.83577036857605,495,5.233863290936725,0.0,22.59355450182191,25,0.4500179985601152,0.0,1.4428302819308563,169,1.916862650987921,0.0,9.08215622825532,
weed1021.csv,500040,24.440444469451904,385,5.874918006559475,0.0,37.31731185208408,48,0.6917606591472683,0.0,4.534381234523993,142,1.6583093352531797,0.0,12.961647110392663,
weed1028.csv,500040,24.90915298461914,15029,3.794118470522358,0.0,181.58599299649282,83,0.1867510599152068,0.0,1.1953207961811028,2935,1.1022998160147188,0.0,35.50802109361473,
khashoggi916.csv,500041,14.654820203781128,59,0.3834505570543216,0,1.092369970160091,8,0.3333426659013961,0,1.0514214742429087,17,0.04172257874854262,0,0.23927495372240698,
khashoggi923.csv,500043,15.064704656600952,29,0.8533006161470114,0,2.782556928377055,4,0.34167461598302545,0,0.7245304146115011,18,0.2416752159314299,0,1.1691677565421612,
khashoggi930.csv,500040,17.212657690048218,297,3.2495560355171587,0.0,27.010817559455543,17,0.28337133029357653,0.0,0.6735969670794292,171,1.7914226861851053,0.0,15.553103159832956,
khashoggi1007.csv,500040,21.322394132614136,552,9.265900727941764,0.0,56.01572893142944,73,1.3665146788256939,0.0,8.269541111172357,622,8.807689384849212,0.0,62.453098668401026,
khashoggi1014.csv,500039,20.988081455230713,2750,6.258509836232774,0,48.772303999212475,130,1.0253840200464364,0,6.724232390271249,609,3.910133009625249,0,25.46014046836553,
khashoggi1021.csv,500040,21.002094268798828,101,1.5541216702663787,0.0,9.566065693934577,21,0.6095812335013199,0.0,2.51396062673504,21,0.5889628829693625,0.0,2.659206912700225,
khashoggi1028.csv,500040,22.369337558746338,189,2.1839092872570194,0.0,10.719041591287205,10,0.39165466762658985,0.0,1.2536210622537134,107,2.241552675785937,0.0,12.383030612904362,
